Iowa ,Joni Ernst ,Republican ," (1970-07-01) July 1, 1970 (age 50) ",Farmer;Army National Guard officer ,Iowa Senate ,"January 3, 2015 ",2026,Red Oak[23] ,Female
Kansas ,Jerry Moran ,Republican ," (1954-05-29) May 29, 1954 (age 66) ",Banker;Lawyer ,U.S. House;Kansas Senate ,"January 3, 2011 ",2022,Manhattan[24] ,Male
Kansas ,Roger Marshall ,Republican ," (1960-08-09) August 9, 1960 (age 60) ","Doctor;Captain, U.S. Army Reserve ",U.S. House ,"January 3, 2021 ",2026,Great Bend ,Male
Kentucky ,Mitch McConnell ,Republican ," (1942-02-20) February 20, 1942 (age 79) ","Lawyer;U.S. Senate staff member;Deputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs ","Judge/Executive of Jefferson County, Kentucky ","January 3, 1985 ",2026,Louisville[25] ,Male
Kentucky ,Rand Paul ,Republican ," (1963-01-07) January 7, 1963 (age 58) ",Physician specializing in Ophthalmology ,None ,"January 3, 2011 ",2022,Bowling Green[25] ,Male
Louisiana ,Bill Cassidy ,Republican ," (1957-09-28) September 28, 1957 (age 63) ",Physician ,U.S. House;Louisiana Senate ,"January 3, 2015 ",2026,Baton Rouge[26] ,Male
Louisiana ,John Kennedy ,Republican ," (1951-11-21) November 21, 1951 (age 69) ",Magazine editor;Lawyer;Professor;Staff of Louisiana Governor Buddy Roemer;Secretary of the Louisiana Department of Revenue ,Louisiana Treasurer ,"January 3, 2017 ",2022,Madisonville[26] ,Male
Maine ,Susan Collins ,Republican ," (1952-12-07) December 7, 1952 (age 68) ","House staffer;Senate staffer;Regional director, Small Business Administration;Deputy Treasurer of Massachusetts ",None ,"January 3, 1997 ",2026,Bangor[27] ,Female
Maine ,Angus King ,Independent[a] ," (1944-03-31) March 31, 1944 (age 77) ",Lawyer;Senate staffer;Business founder;Corporate executive;Public television news program host ,Governor of Maine ,"January 3, 2013 ",2024,Brunswick ,Male
Maryland ,Ben Cardin ,Democratic ," (1943-10-05) October 5, 1943 (age 77) ",Lawyer ,U.S. House;Speaker of the Maryland House of Delegates ,"January 3, 2007 ",2024,Baltimore[28] ,Male
Maryland ,Chris Van Hollen ,Democratic ," (1959-01-10) January 10, 1959 (age 62) ",U.S. Senate staff member;Maryland Governor's legislative advisor;Lawyer ,U.S. House;Maryland Senate;Maryland House of Delegates ,"January 3, 2017 ",2022,Kensington[28] ,Male
Massachusetts ,Elizabeth Warren ,Democratic ," (1949-06-22) June 22, 1949 (age 71) ",Lawyer;Professor;Research associate;Nonprofit organization executive;COP Chair;CFPB Special Advisor ,None ,"January 3, 2013 ",2024,Cambridge[29] ,Female
Massachusetts ,Ed Markey ,Democratic ," (1946-07-11) July 11, 1946 (age 74) ","Member, United States Army Reserve;Lawyer ",U.S. House;Massachusetts House of Representatives ,"July 16, 2013[m] ",2026,Malden[29] ,Male
Michigan ,Debbie Stabenow ,Democratic ," (1950-04-29) April 29, 1950 (age 71) ",Social worker;Leadership training consultant ,U.S. House;Michigan House of Representatives;Michigan Senate ,"January 3, 2001 ",2024,Lansing[31] ,Female
Michigan ,Gary Peters ,Democratic ," (1958-12-01) December 1, 1958 (age 62) ",United States Navy Reserve officer;Financial advisor;Lawyer;College professor and lecturer ,U.S. House;Michigan Senate ,"January 3, 2015 ",2026,Bloomfield Hills[31] ,Male
Minnesota ,Amy Klobuchar ,Democratic ," (1960-05-25) May 25, 1960 (age 60) ",Lawyer ,"Hennepin County, Minnesota County Attorney ","January 3, 2007 ",2024,Minneapolis[32] ,Female
Minnesota ,Tina Smith ,Democratic ," (1958-03-04) March 4, 1958 (age 63) ",Public relations consultant;Political campaign manager;Chief of staff to the Mayor of Minneapolis;Chief of staff to the Governor of Minnesota ,Lieutenant Governor of Minnesota ,"January 3, 2018[n] ",2026,Minneapolis[32] ,Female
Mississippi ,Roger Wicker ,Republican ," (1951-07-05) July 5, 1951 (age 69) ",U.S. Air Force officer/Judge Advocate;U.S. House staffer;Lawyer ,U.S. House;Mississippi Senate ,"December 31, 2007[o] ",2024,Tupelo[34] ,Male
Mississippi ,Cindy Hyde-Smith ,Republican ," (1959-05-10) May 10, 1959 (age 62) ",Farmer ,Mississippi Commissioner of Agriculture and Commerce;Mississippi Senate ,"April 9, 2018[p] ",2026,Brookhaven ,Female
Missouri ,Roy Blunt ,Republican ," (1950-01-10) January 10, 1950 (age 71) ",University president ,"U.S. House;Missouri Secretary of State;Greene County, Missouri Clerk ","January 3, 2011 ",2022,Springfield ,Male
Missouri ,Josh Hawley ,Republican ," (1979-12-31) December 31, 1979 (age 41) ",Lawyer;Professor ,Attorney General of Missouri ,"January 3, 2019 ",2024,Springfield[35] ,Male
Montana ,Jon Tester ,Democratic ," (1956-08-21) August 21, 1956 (age 64) ",Music teacher;Farmer ,"Montana Senate President;Big Sandy, Montana School Board ","January 3, 2007 ",2024,Big Sandy ,Male
Montana ,Steve Daines ,Republican ," (1962-08-20) August 20, 1962 (age 58) ",Businessman ,U.S. House ,"January 3, 2015 ",2026,Bozeman ,Male
Nebraska ,Deb Fischer ,Republican ," (1951-03-01) March 1, 1951 (age 70) ",Rancher ,Nebraska Legislature ,"January 3, 2013 ",2024,Valentine ,Female
